"area_name","n","公表日"
"空知",4,2021-01-22
"空知",5,2021-01-23
"空知",1,2021-01-24
"空知",6,2021-01-25
"空知",1,2021-01-26
"空知",1,2021-01-27
"空知",1,2021-01-28
"空知",1,2021-01-29
"空知",2,2021-01-30
"空知",0,2021-01-31
"空知",0,2021-02-01
"空知",0,2021-02-02
"空知",1,2021-02-03
"空知",0,2021-02-04
"空知",1,2021-02-05
"空知",0,2021-02-06
"空知",0,2021-02-07
"空知",0,2021-02-08
"空知",0,2021-02-09
"空知",0,2021-02-10
"空知",0,2021-02-11
"空知",0,2021-02-12
"空知",0,2021-02-13
"空知",0,2021-02-14
"空知",0,2021-02-15
"空知",0,2021-02-16
"空知",1,2021-02-17
"空知",2,2021-02-18
"空知",3,2021-02-19
"空知",2,2021-02-20
"空知",5,2021-02-21
"空知",2,2021-02-22
"空知",0,2021-02-23
"空知",1,2021-02-24
"空知",0,2021-02-25
"空知",1,2021-02-26
"空知",0,2021-02-27
"空知",0,2021-02-28
"空知",0,2021-03-01
"空知",1,2021-03-02
"空知",0,2021-03-03
"空知",0,2021-03-04
"空知",0,2021-03-05
"空知",0,2021-03-06
"空知",0,2021-03-07
"空知",2,2021-03-08
"空知",2,2021-03-09
"空知",1,2021-03-10
"空知",1,2021-03-11
"空知",0,2021-03-12
"空知",0,2021-03-13
"空知",0,2021-03-14
"空知",0,2021-03-15
"空知",1,2021-03-16
"空知",0,2021-03-17
"空知",1,2021-03-18
"空知",2,2021-03-19
"空知",0,2021-03-20
"空知",0,2021-03-21
"空知",0,2021-03-22
"空知",0,2021-03-23
"空知",1,2021-03-24
"空知",1,2021-03-25
"空知",4,2021-03-26
"空知",2,2021-03-27
"空知",4,2021-03-28
"空知",2,2021-03-29
"空知",2,2021-03-30
"空知",6,2021-03-31
"空知",0,2021-04-01
"空知",0,2021-04-02
"空知",2,2021-04-03
"空知",0,2021-04-04
"空知",0,2021-04-05
"空知",0,2021-04-06
"空知",0,2021-04-07
"空知",0,2021-04-08
"空知",2,2021-04-09
"空知",1,2021-04-10
"空知",0,2021-04-11
"空知",0,2021-04-12
"空知",0,2021-04-13
"空知",0,2021-04-14
"空知",2,2021-04-15
"空知",1,2021-04-16
"空知",1,2021-04-17
"空知",0,2021-04-18
"空知",0,2021-04-19
"空知",4,2021-04-20
"空知",2,2021-04-21
"空知",5,2021-04-22
"空知",3,2021-04-23
"空知",3,2021-04-24
"空知",0,2021-04-25
"空知",6,2021-04-26
"空知",2,2021-04-27
"空知",4,2021-04-28
"空知",2,2021-04-29
"空知",1,2021-04-30
"空知",0,2021-05-01
"空知",4,2021-05-02
"空知",1,2021-05-03
"空知",2,2021-05-04
"空知",6,2021-05-05
"空知",1,2021-05-06
"空知",6,2021-05-07
"空知",9,2021-05-08
"空知",19,2021-05-09
"空知",18,2021-05-10
"空知",15,2021-05-11
"空知",20,2021-05-12
"空知",18,2021-05-13
"空知",18,2021-05-14
"空知",28,2021-05-15
"空知",24,2021-05-16
"空知",11,2021-05-17
"空知",10,2021-05-18
"空知",15,2021-05-19
"空知",13,2021-05-20
"空知",8,2021-05-21
"空知",24,2021-05-22
"空知",11,2021-05-23
"空知",5,2021-05-24
"空知",12,2021-05-25
"空知",12,2021-05-26
"空知",5,2021-05-27
"空知",9,2021-05-28
"空知",10,2021-05-29
"空知",5,2021-05-30
"空知",2,2021-05-31
"空知",10,2021-06-01
"空知",7,2021-06-02
"空知",7,2021-06-03
"空知",9,2021-06-04
"空知",5,2021-06-05
"空知",3,2021-06-06
"空知",1,2021-06-07
"空知",5,2021-06-08
"空知",12,2021-06-09
"空知",11,2021-06-10
"空知",8,2021-06-11
"空知",8,2021-06-12
"空知",3,2021-06-13
"空知",5,2021-06-14
"空知",9,2021-06-15
"空知",7,2021-06-16
"空知",4,2021-06-17
"空知",5,2021-06-18
"空知",4,2021-06-19
"空知",0,2021-06-20
"空知",0,2021-06-21
"空知",1,2021-06-22
"空知",0,2021-06-23
"空知",0,2021-06-24
"空知",0,2021-06-25
"空知",0,2021-06-26
"空知",0,2021-06-27
"空知",0,2021-06-28
"空知",1,2021-06-29
"空知",0,2021-06-30
"空知",2,2021-07-01
"空知",0,2021-07-02
"空知",0,2021-07-03
"空知",0,2021-07-04
"空知",0,2021-07-05
"空知",1,2021-07-06
"空知",0,2021-07-07
"空知",0,2021-07-08
"空知",1,2021-07-09
"空知",2,2021-07-10
"空知",1,2021-07-11
"空知",1,2021-07-12
"空知",0,2021-07-13
"空知",0,2021-07-14
"空知",1,2021-07-15
"空知",0,2021-07-16
"空知",0,2021-07-17
"空知",0,2021-07-18
"空知",0,2021-07-19
"空知",2,2021-07-20
"空知",0,2021-07-21
"空知",2,2021-07-22
"空知",1,2021-07-23
"空知",0,2021-07-24
"空知",0,2021-07-25
"空知",1,2021-07-26
"空知",2,2021-07-27
"空知",2,2021-07-28
"空知",3,2021-07-29
"空知",5,2021-07-30
"空知",3,2021-07-31
"空知",2,2021-08-01
"空知",5,2021-08-02
"空知",4,2021-08-03
"空知",10,2021-08-04
"石狩",0,2020-01-28
"石狩",1,2020-02-14
"石狩",2,2020-02-19
"石狩",1,2020-02-21
"石狩",2,2020-02-22
"石狩",1,2020-02-23
"石狩",3,2020-02-24
"石狩",1,2020-02-25
"石狩",0,2020-02-26
"石狩",2,2020-02-27
"石狩",4,2020-02-28
"石狩",3,2020-02-29
"石狩",1,2020-03-01
"石狩",1,2020-03-02
"石狩",2,2020-03-03
"石狩",0,2020-03-04
"石狩",1,2020-03-05
"石狩",5,2020-03-06
"石狩",6,2020-03-07
"石狩",0,2020-03-08
"石狩",7,2020-03-09
"石狩",3,2020-03-10
"石狩",4,2020-03-11
"石狩",9,2020-03-12
"石狩",12,2020-03-13
"石狩",2,2020-03-14
"石狩",0,2020-03-15
"石狩",3,2020-03-16
"石狩",1,2020-03-18
"石狩",2,2020-03-19
"石狩",1,2020-03-20
"石狩",0,2020-03-21
"石狩",1,2020-03-22
"石狩",1,2020-03-24
"石狩",3,2020-03-25
"石狩",0,2020-03-26
"石狩",1,2020-03-27
"石狩",1,2020-03-28
"石狩",3,2020-03-29
"石狩",0,2020-03-30
"石狩",0,2020-04-01
"石狩",1,2020-04-02
"石狩",4,2020-04-03
"石狩",2,2020-04-04
"石狩",0,2020-04-05
"石狩",4,2020-04-07
"石狩",6,2020-04-08
"石狩",15,2020-04-09
"石狩",10,2020-04-10
"石狩",13,2020-04-11
"石狩",12,2020-04-12
"石狩",5,2020-04-13
"石狩",10,2020-04-14
"石狩",16,2020-04-15
"石狩",12,2020-04-16
"石狩",26,2020-04-17
"石狩",30,2020-04-18
"石狩",19,2020-04-19
"石狩",14,2020-04-20
"石狩",17,2020-04-21
"石狩",16,2020-04-22
"石狩",42,2020-04-23
"石狩",17,2020-04-24
"石狩",32,2020-04-25
"石狩",12,2020-04-26
"石狩",29,2020-04-27
"石狩",36,2020-04-28
"石狩",32,2020-04-29
"石狩",38,2020-04-30
"石狩",22,2020-05-01
"石狩",32,2020-05-02
"石狩",23,2020-05-03
"石狩",28,2020-05-04
"石狩",12,2020-05-05
"石狩",18,2020-05-06
"石狩",11,2020-05-07
"石狩",6,2020-05-08
"石狩",6,2020-05-09
"石狩",8,2020-05-10
"石狩",9,2020-05-11
"石狩",7,2020-05-12
"石狩",4,2020-05-13
"石狩",5,2020-05-14
"石狩",5,2020-05-15
"石狩",5,2020-05-16
"石狩",6,2020-05-17
"石狩",1,2020-05-18
"石狩",1,2020-05-19
"石狩",1,2020-05-20
"石狩",4,2020-05-21
"石狩",3,2020-05-22
"石狩",7,2020-05-23
"石狩",12,2020-05-24
"石狩",3,2020-05-25
"石狩",6,2020-05-26
"石狩",1,2020-05-27
"石狩",3,2020-05-28
"石狩",1,2020-05-29
"石狩",3,2020-05-30
"石狩",5,2020-05-31
"石狩",4,2020-06-01
"石狩",1,2020-06-02
"石狩",2,2020-06-03
"石狩",2,2020-06-04
"石狩",4,2020-06-05
"石狩",6,2020-06-06
"石狩",3,2020-06-07
"石狩",4,2020-06-08
"石狩",1,2020-06-09
"石狩",5,2020-06-10
"石狩",5,2020-06-11
"石狩",9,2020-06-12
"石狩",8,2020-06-13
"石狩",7,2020-06-14
"石狩",4,2020-06-15
"石狩",2,2020-06-16
"石狩",6,2020-06-17
"石狩",5,2020-06-18
"石狩",2,2020-06-19
"石狩",3,2020-06-20
"石狩",2,2020-06-21
"石狩",2,2020-06-22
"石狩",0,2020-06-23
"石狩",1,2020-06-24
"石狩",0,2020-06-25
"石狩",1,2020-06-26
"石狩",0,2020-06-27
"石狩",3,2020-06-28
"石狩",8,2020-06-29
